"","uniprot_id","protein","gene","description","Ensembl","CR006_T1","CR006_T2","CR007_T2","CR008_T1","CR008_T2","CR010_T2","CR012_T1","CR012_T2","CR015_T1","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR025_T1","CR025_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","PPS02","PPS20","PPS28","PPS31","PPS32","PPS37","PPS40","PPS41","PPS42","PPS44"
"Q96I99","Q96I99","SUCB2_HUMAN","SUCLG2","Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial","ENSG00000172340",18.2060744436719,18.1247134392176,19.111029574772,19.790646555915,19.7720280352601,17.4083972574148,18.0306055918517,18.228808428573,18.8458954078538,18.2383173708412,18.2831008017081,18.3752091862531,19.0548384312976,18.2608594381336,18.6360390518035,18.9403904033224,19.0532697894047,18.6174448159669,17.8890202509485,19.1370851699951,18.6878214547684,19.4765690663185,19.5468442789759,18.8172379481167,19.0965013418269,18.7139241161236,18.8674678661437,18.5653281333828,18.9687620981986,18.7293796572952,18.1713739546763,19.5664718265759,18.0806853387688,18.873264087591,18.7880840883341
"P39656","P39656","OST48_HUMAN","DDOST","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit","ENSG00000244038",18.8628617364777,19.2279143820096,18.9154526597826,18.5376603008645,18.2332632231378,18.6707218488453,19.0371466315411,19.2582431152775,18.9445127525886,19.526520332927,19.3101523009953,18.8878922243009,18.6949431159454,17.3986401875215,19.2911715747356,19.1600618368687,19.4571454573021,19.1623154587139,18.7894237768805,19.2949708772767,18.302072474143,19.0971209643841,18.4754025928305,18.5340493792228,18.3628073941109,19.1027655415917,18.4066391033436,18.3636053445319,19.0993304201361,19.0611611049882,19.1002817763321,19.0536465989412,19.429199071571,18.8053779274756,19.0139280121066
"P26640","P26640","SYVC_HUMAN","VARS1","Valine--tRNA ligase","ENSG00000204394",18.2953513871147,18.3395263984784,18.4776742924787,18.9018945430617,18.959481741462,18.9545826779479,19.1456030151482,19.2585135565678,18.1886734405147,18.7782622779484,18.7204722130481,19.1800766704838,18.7486992578268,17.9643352627606,19.2052064281125,18.8707112986776,19.2905554852521,17.9667687730539,18.5566867002186,NA,18.3023438164636,18.6562906244343,18.6678576790633,18.7896329974873,18.4613225679837,19.0883336779591,18.8044108473354,19.130781709055,19.2895494708068,19.1581809610225,19.1643953529069,19.1063281218374,18.9927428932626,18.9211624758258,18.8107762960643
"P61353","P61353","RL27_HUMAN","RPL27","60S ribosomal protein L27","ENSG00000131469",18.388709683711,19.8431365125005,NA,NA,NA,18.9778304889637,18.9964939710058,19.3154248469316,18.8519084971316,NA,19.0604017764756,18.8151062049841,18.873965000711,NA,18.9469971954201,18.7369313488997,19.4405262347382,18.4062093886216,19.2457196269934,NA,18.9038685040911,18.4999416613932,18.3136682933757,18.0841174893578,17.9141884909497,18.5737343160084,18.1923059310256,19.3503311830517,19.0517671254559,18.8483606346203,NA,19.2598795051694,18.7249221429775,19.002494133932,19.1396508669384
"Q13683","Q13683","ITA7_HUMAN","ITGA7","Integrin alpha-7","ENSG00000135424",17.8712432000779,18.5245339108451,18.4557799458116,18.8277800382505,18.6883229978586,18.8106625834663,18.7077346957344,18.7990797865371,20.1940875352022,18.6846059343378,18.3166741124112,18.7077066364726,18.4204335405717,18.1665340509019,18.5161807938022,19.0312461742168,18.6810426868945,18.8462429965295,18.5499980804504,18.6165280767255,18.7475598861876,18.441070461053,18.1500645800796,18.7499284883938,18.7260277276752,18.3703847206986,18.9832274580932,18.1474953333218,18.5508447775138,18.4781771335662,18.5394920720741,18.6159908098167,18.7563611646371,18.274038388188,18.8099696066597
"Q8TAT6","Q8TAT6","NPL4_HUMAN","NPLOC4","Nuclear protein localization protein 4 homolog","ENSG00000182446",19.6836049393393,19.0839487185974,18.8619633283542,18.5136841725065,18.8099926944746,18.7113113492588,19.3747525999345,18.8817674084951,18.087441438048,18.7138887069626,18.8897426819142,19.3211251594167,19.0836501416858,18.9959822154284,18.4979401717081,18.8954575644314,18.8049084435254,18.8698476569371,18.4545163641472,18.5337226101898,19.0058822935803,18.7914769157698,18.940744975355,19.1446471263293,19.0030663399966,19.3472239596581,19.5499392237136,18.9839828046503,18.9066642813487,18.8417700799336,18.8119701372018,18.802375230396,18.8472417969761,19.0040031049396,19.3251465217921
"P22830","P22830","HEMH_HUMAN","FECH","Ferrochelatase, mitochondrial","ENSG00000066926",19.0088706251021,19.0586446061802,19.0940692263134,19.6656364092597,19.1992227712636,18.5425499806048,18.5710319500972,18.6245283857307,17.7608770516227,19.1721943004372,19.0501216620477,18.9354125619598,18.8075693748214,NA,18.3274525274352,17.6762123693864,18.3293425034982,18.7254739742234,17.524030054144,18.8134714868649,19.3210947937346,19.3391247576372,19.3377493341261,19.2532655396146,18.5895299283827,18.4149195502579,19.0534827334255,19.0831554361656,19.3000301743091,19.3586542516291,19.5914268305293,19.4688843328939,19.0054215177861,18.7227125650591,19.3213164473783
"Q9H4G4","Q9H4G4","GAPR1_HUMAN","GLIPR2","Golgi-associated plant pathogenesis-related protein 1","ENSG00000122694",17.5004442364802,NA,17.2549470243012,17.0315931319454,16.8873690123096,17.8784554659383,17.0505447934364,18.1821522142369,19.1002685515868,16.8820431496395,17.3720081932495,16.4883714430701,18.1531057513293,19.0467378258421,17.416239415349,19.0622023698075,18.8758556002971,18.2806024574126,19.871937856989,17.4103816437243,18.6796083421571,16.7621960456644,16.4566328436936,NA,19.4261590803506,NA,16.2588897711353,17.2471965628581,15.4416237883089,NA,NA,16.463229836305,16.294989456882,15.9295118626999,NA
"Q9BZQ8","Q9BZQ8","NIBA1_HUMAN","NIBAN1","Protein Niban 1","ENSG00000135842",18.4112591677642,NA,18.3197376486432,19.7233910938405,19.1096210365569,18.929661293449,18.7992470716397,18.5280270725051,18.5638965466395,19.1317437739018,18.9574587691794,18.8518467127567,18.243913777156,18.8649187442425,18.8817720408993,18.9912832015371,18.9742538591724,19.0116877866672,19.3543323903785,18.9466126691353,18.6882558471462,18.9002100965744,18.9333192115891,18.4768500506184,19.0824192623507,19.3725983997928,18.1449013713796,18.4272721745236,18.2423480213924,17.3401130359869,18.1783420034229,18.9246863436592,19.4912619763191,17.9886994641632,18.5506018405806
"Q96CN7","Q96CN7","ISOC1_HUMAN","ISOC1","Isochorismatase domain-containing protein 1","ENSG00000066583",19.1311621514631,NA,18.6179775448625,18.6120518669854,18.6553149100931,18.8813204475173,18.6971967375014,18.5597221780527,18.4855003258008,18.3395000521255,18.3905963693273,18.814725393656,18.616460551084,NA,18.526821542909,18.2509590434349,18.2861895427697,19.0770594356179,17.9376718345635,18.0622972440607,18.5017547742894,19.6986003162591,19.3014357311103,19.1901086834016,18.3437576580844,19.8162615754249,19.2929450028206,18.8638324020278,18.8943248700064,19.9006894389793,19.2952478601723,19.0344910134099,19.3450503194653,19.6312028343225,18.8821700864313
"Q9NUJ1","Q9NUJ1","ABHDA_HUMAN","ABHD10","Mycophenolic acid acyl-glucuronide esterase, mitochondrial","ENSG00000144827",19.3866074268358,18.0395896189255,18.8571724581254,18.9764260030786,19.7523400846843,18.44512522299,18.4123078726655,18.5578355160174,18.4715701679404,18.7711800051382,18.6857087736129,18.9676080988625,18.9968301048193,NA,18.450002955479,17.4485892858168,18.0599184802339,19.2374632474614,18.217417409244,18.3655614588923,18.336196379668,19.6999565157019,19.1450813569254,19.0033209274364,18.6420738853596,18.7810441344079,18.7424548551228,19.2556576765472,18.8333720150904,19.1258584326538,18.7186667678443,19.5417413952833,18.8403519514435,19.4853947853687,18.94277708892
"Q86Y39","Q86Y39","NDUAB_HUMAN","NDUFA11","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11","ENSG00000174886",19.0170714197861,19.3450014041122,18.5601170796994,18.9000102926588,18.9910410818038,19.0074468415778,16.8979024076037,18.2343474942929,NA,18.6859979221686,18.7607822395001,18.7976416117424,19.5991408662227,18.5363544509661,19.1416323002917,18.7087796899227,19.2324906971727,18.6496023007009,16.9752984233533,18.7434801993158,17.9179538697366,19.3564671807062,18.1909193023397,18.3519802354153,17.0479360141273,18.7001119938218,18.9442943626238,19.0323932175588,18.997045778631,19.4969976033198,18.916000736502,19.4112775532322,19.3216841774541,18.4263399757007,18.667686261466
"Q9BYV2","Q9BYV2","TRI54_HUMAN","TRIM54","Tripartite motif-containing protein 54","ENSG00000138100",18.5289661611423,18.9137406041438,19.2297745825904,18.3541591536536,19.5956717204504,18.8566743043062,18.7273186758493,18.8978714557659,17.1968284372532,18.8931500082426,18.6898485271386,19.0202495158688,19.9175936468303,18.5624596612339,18.3019420803547,18.5713897824691,18.6818029521789,18.6531355126953,NA,18.9680079835471,18.5828638448613,19.0571434457949,19.0093004061876,19.3387194491809,18.9795827319694,18.6889029191374,19.0374340847156,18.8797289656463,18.897585723151,18.920902432138,18.8131430476162,18.9280099489455,19.1987332509094,19.3400391971358,19.0560286948985
"P62318","P62318","SMD3_HUMAN","SNRPD3","Small nuclear ribonucleoprotein Sm D3","ENSG00000100028",19.0802781696973,19.0470973454241,18.2402373303338,18.4191224190805,18.7738745041341,18.8651895752518,18.724824735484,19.1115607641323,18.8729314190387,19.1202456974178,19.1401649364664,19.1824959809255,18.6378223913542,19.2012978787227,18.8515460324669,18.8899929176594,19.0968060428337,18.6674187445866,18.6090549853306,18.6661731742665,18.3321730731768,19.1480210142205,18.7239409799731,18.7107814398407,19.0670901367081,19.0349696531131,18.982807812321,18.4550058827567,18.7395797188391,18.8672511612772,18.687555704927,18.5863969389975,19.1619707678788,18.3531730100257,18.9006968793927
"P23368","P23368","MAOM_HUMAN","ME2","NAD-dependent malic enzyme, mitochondrial","ENSG00000082212",19.5379849712737,19.577436885043,18.9518655699679,18.8286414606048,19.4593451018053,18.2893349352361,18.3161352390004,18.8015386076351,17.9532778707606,18.5802729726312,18.745955473745,18.6811149870029,19.6705737491749,18.8625121321049,18.8361753057259,18.0267289737157,18.4366659987144,18.9907874959465,18.3891289717955,18.6417662558545,18.5475701137869,18.9351808012756,19.2386761169613,18.5925437634326,19.2634151006125,18.5853230894754,19.5276186752497,19.6136075352554,18.630054802489,18.5186392674491,18.3572362096091,18.6045104499601,17.7681130556348,19.07284613623,19.4798399569191
"P43686","P43686","PRS6B_HUMAN","PSMC4","26S proteasome regulatory subunit 6B","ENSG00000013275",19.3348027814795,19.14968794139,18.9342485498367,18.3273512738075,18.7616059135961,18.0608421876829,18.0960179234955,18.6546456058872,18.2679908981967,18.4478048178543,18.8965999974416,18.9138926789541,18.464912286271,19.0695727018636,19.0155720814985,19.0770554411909,18.5086896039436,18.3951907600412,18.1656369612331,18.8765880243499,18.8675505413994,18.7125590811132,19.0259067525187,19.2620636132677,18.718043547023,18.7206345116327,19.5428898146424,19.0623279882903,18.7828592894363,18.8834076001766,18.7587574654124,18.5672426845603,18.8567018533407,18.7717377922518,19.0184739223239
"O00442","O00442","RTCA_HUMAN","RTCA","RNA 3'-terminal phosphate cyclase","ENSG00000137996",19.2456761022436,19.4872455651458,19.0811130409774,18.8790281444806,19.2784828622675,19.5301167284323,18.8872186921562,18.4642012596647,17.8085532294246,19.0839066026548,19.2410922920935,18.7497692105542,18.3041786025951,18.8422186969216,18.4106624506099,18.7368831799369,18.3190368168006,19.1755715880722,18.1451482483528,19.0738736514708,18.9512766286341,18.6254862804673,18.7649394194348,19.4455150102546,18.599011953967,19.0386282245718,18.6295174323357,19.0052489136333,19.0577889692608,18.6878003672523,19.0653528672238,19.1505388258473,18.6856443559396,18.9145732593343,18.9316286264344
"O43674","O43674","NDUB5_HUMAN","NDUFB5","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial","ENSG00000136521",19.2035552695225,NA,19.1507490483563,19.2749029921636,19.7950920520365,18.2526294684544,16.6265097572629,18.1386241082477,17.1665888314797,18.6294900138199,18.2620397906996,18.9386714529124,19.2475146142854,18.5666362552863,19.2090015342754,18.5975681299069,18.9239918326472,18.7789932970342,18.4206776244964,18.7851377099384,18.6697129007609,19.5184751603632,19.2751618093534,18.2397425683908,18.5879286873968,18.5613653749298,17.9266634484398,19.3445657375191,19.3021361658986,19.5827283127775,19.0019265933181,19.7766175401842,19.2440879419979,18.7988381950063,19.2595556043515
"O94905","O94905","ERLN2_HUMAN","ERLIN2","Erlin-2","ENSG00000147475",18.6513451002054,19.1167321074152,18.9392050823206,18.4966442621616,17.9609820810021,18.7934254485013,18.7293363550569,19.1520917064017,19.1147538468536,19.1964386139114,19.306677772778,18.6810983418848,18.123575518766,19.1860097187285,18.7783204801577,18.6438010763439,18.7986209265776,18.5306184937236,18.4804705062304,19.2510714471731,18.7849226646334,18.2857399859968,18.1311147888824,18.2346894243266,18.8619157334971,19.0553526053813,18.6083738225224,18.6586141990145,18.799084963528,18.660729732207,18.834405167609,18.4673190095862,19.2905753998175,19.0465663696425,18.7610900907971
"O75340","O75340","PDCD6_HUMAN","PDCD6","Programmed cell death protein 6","ENSG00000249915",18.5975452697395,NA,17.8363254369608,17.956728236938,18.1580915479573,18.7960485075266,19.1295451760035,18.6839969958849,19.7082189613906,18.6693376234971,18.5486096597417,18.4354371363343,18.2917018475704,18.5761810336447,18.6298823862851,18.9153052335726,18.8327315550438,19.4470034748122,19.3481145042204,18.9645817228769,18.6055209536193,18.303842234514,18.0767943127298,18.1874407816429,18.55732688345,18.7057752065508,18.5699171298532,19.0027649088674,18.452825475467,18.2364987632261,18.6426511180363,18.1788347427557,18.3790180654568,18.7681578959842,18.6979221955465
"Q9BS40","Q9BS40","LXN_HUMAN","LXN","Latexin","ENSG00000079257",18.5144578497311,17.5791823142294,18.8580001388411,17.4217908888165,17.6382314512359,17.7670966022809,17.8241700671578,18.239763095636,19.886720910418,18.411459225127,18.0400730796983,17.9081471356046,18.2707625614884,19.562153645803,18.9767418755584,20.0370325622974,17.7605154706692,19.0060758562317,20.367337127091,20.0586877006655,17.8119788880154,18.2840711322346,18.4613732227923,15.7973792034163,18.5792727332184,15.3939346389782,15.6828354374385,16.7212598116719,16.2304781643264,15.7113471463011,NA,16.3061569967975,17.1671380371356,NA,NA
"Q15836","Q15836","VAMP3_HUMAN","VAMP3","Vesicle-associated membrane protein 3","ENSG00000049245",18.1578052263953,NA,18.1583045386528,18.2529836057598,18.5148431161007,18.8769661887633,18.3099237390239,18.828062259986,18.9958626200294,17.8924375544728,18.8421858032327,18.1997984453,18.7394350607456,19.4347798790685,19.0640584141076,18.4106882711034,18.8450507938645,18.8255515556862,18.730816800618,NA,17.6166031315719,18.2707044835915,17.6760155911375,18.8762008254979,18.4528155235225,18.335065877432,18.3040222006183,18.595975905245,18.5910394658119,18.504381144354,18.4802790002945,18.0566696031525,18.9276217093967,18.5876862227816,18.3097532372798
"O95372","O95372","LYPA2_HUMAN","LYPLA2","Acyl-protein thioesterase 2","ENSG00000011009",18.6547772151525,19.0445439843997,18.8983195288686,19.2920056123796,18.9060447693649,19.2131511293044,19.4031839753828,18.5651040937609,18.1154530069408,19.1587406861566,18.5159586028584,18.8914499098889,18.6941384750753,18.2526153868567,18.5766437105047,18.6984172626487,18.3627409022269,19.002140356119,18.3548824453837,19.2305485025865,18.7516930698826,19.3187413863672,18.8741160035656,18.6702721106999,18.2605099127581,19.0720487150883,18.9480871813468,19.054875605851,18.9494925827684,19.1702382796713,19.1226958866392,19.0976765984103,19.0934859400507,19.1257770023314,18.7465297541641
"P63027","P63027","VAMP2_HUMAN","VAMP2","Vesicle-associated membrane protein 2","ENSG00000220205",17.8426634682867,NA,18.5465317652654,18.0789857429427,18.0970566217207,18.2091976477578,18.3626187465672,18.5673338690292,19.5324050721623,18.0628688158646,17.9601443870188,18.0965829238884,17.7765580417187,19.2928684941482,18.4829431046767,18.6113134762599,18.8777529141829,18.4113382364565,18.8730911852988,17.8440928135382,17.5511197324142,18.4341764310276,17.801637706159,18.6151325848069,19.1974903914734,18.2584482092883,18.1960819987067,18.1157916352019,18.0710024397738,17.6383231804656,18.0156156505417,18.4479970518099,18.4583896076947,18.3899784575642,18.1616599934393
"P62424","P62424","RL7A_HUMAN","RPL7A","60S ribosomal protein L7a","ENSG00000148303",18.0793630751447,19.5305528186446,18.459313374012,18.4597049510723,17.8824538169626,18.8622755403308,18.6706674202963,19.3764274586947,18.6139638595104,18.2369641022473,18.7809247465121,18.4899420722714,18.7367548721298,19.3047298483044,18.9178969247884,18.7769001568294,19.8410815374367,18.7808214077816,18.3295647735042,18.3070098602893,18.5315207272916,18.9542916289392,18.0619762838988,18.3177274011972,17.9003711749741,18.7204094146491,18.875427997321,19.2376700321855,18.6948831558201,19.1963112671775,18.6774990175454,18.6575115218953,18.9636147515554,18.7580204666125,18.6286009749265
"P63279","P63279","UBC9_HUMAN","UBE2I","SUMO-conjugating enzyme UBC9","ENSG00000103275",18.1294412856133,18.0659241765451,19.2652120530547,19.2484242820349,18.264967015556,19.0883821867636,19.103568778192,18.6880489352678,19.4304534435073,19.2714466980572,18.8039150686234,18.6235922288943,17.5359900882744,17.8568721656942,18.6955736170881,19.3578155693314,18.6627646388975,18.7888320225365,19.0720679563231,19.4657529567722,19.3852147753447,18.2813796316095,17.8993496080156,18.2067888747422,19.5421028210214,17.9936344878801,18.1936389901849,18.3654697188411,18.3698168581079,17.9847715911796,18.8399039239709,18.4218793041156,19.223236565063,18.5884904427102,18.7154268910672
